Menu Item
Chango
Chickencado
Chickencurry
Hangover
Mozzato
Parmella
Pescado
Spicy Chicken
Spicy Tuna
Spicy Vegan
Tunacado
Lítil samloka
Chango lítil
Chickencado lítil
Chickencurry lítil
Hangover lítil
Mozzato lítil
Parmella lítil
Pescado lítil
Spicy Chicken lítil
Spicy Tuna lítil
Spicy Vegan lítil
Tunacado lítil
Alabama
Dazed
Django
Elvis
Good Times
Greenday
Hawaiian Flirt
Honey Bunny
Icelandic Flirt
Indian Flirt
JJ
Kaffi Curro
Kaffi Frappó
Lotta Love
Mr. Blonde
Mr. Pink
Nice Guy
Presley
Spanish Flirt
Vanilla Flirt
Winston Wolf
Alabama lítil
Dazed lítil
Django lítil
Elvis lítil
Good Times lítil
Greenday lítil
Hawaiian Flirt lítil
Honey Bunny lítil
Icelandic Flirt lítil
Indian Flirt lítil
JJ lítil
Kaffi Curro lítil
Kaffi Frappó lítil
Lotta Love lítil
Mr. Blonde lítil
Mr. Pink lítil
Nice Guy lítil
Presley lítil
Spanish Flirt lítil
Vanilla Flirt lítil
Winston Wolf lítil
Espresso
Cappucino
Caffe Latte
Macchiato
Mocha
Kaffi
Túmerikskot
Ruðrófuskot
Engiferskot
Hafragrautur með eplum
Hafragrautur með granóla
Kjöt
Avócadó
Mozarella
Próteinduft
bergtoppur stórógarberja
coke
coke lite
coke zero
Gjafabréf
lítil poki
stór poki
toppur appelsínu
toppur epla
toppur ferstórju
toppur kolsýrt vatn
vatn 330 ml
vatn 500 ml
